    4483    4219    4294    1854
    5047    4718    4852    1948
    5556   10645   10579    5399
    5868    5789    5854    5997
    5670    2120    5545   10548
    4838    5163   10474    5032
    4470    4284   10111    4591
    3605   10039    4005    3842
    3008    2274    9901    3218
    2274    2644    2883    9861
    2882    2490    2489    2881
    2641    2882    2275    3093
    2880    2488    2487    2879
    2642    2880    3006    2276
    2879    2659    3007    2277
    3155    3007    2278    3334
    2277    3007    3155    3333
    3206    3006    2277    3333
    2186    3865    3819    3571
    4214    3819    3865   10184
    2643      44    2392    2787
    1714    2643    2787    3054
    3365    3156    9915    3536
    3759    1853    3866    3798
    4294    4249    4484    1854
    4852    4757    5048    1948
    5557   10644   10578    5638
    5698    2121   10526    5695
    5210    2043    5175    4934
    4656    4430    4470    2134
    3799    3842   10040    4095
    3009    2273    3243    3217
    2644    2274    3008    2884
    2491    2883    2644      95
    2645      43    2391    2786
     156    2645    2786    3053
    1943    3034    3157    3364
    1852    3394    3464    3759
    4332    4355    4485    1947
    4912    4941    5049    1994
    5558    5306    5466    2042
   10260    5371    5015    4822
    4721    4615    4740    2133
    2254    4430    2255   10150
    3073    2272    3159    3338
    2885    2493    2492    2884
    3009    2646    2885    2273
    2784    2389    2388    2783
    1851    3103    3158    3350
    4030    1992    4105    4047
    4612    4613    4663    1993
    5001    5052    5050   10291
   10292    5051    2130    4978
    4614   10201    4357   10075
    4108   10105   10038    3829
    3216    3014    2271    9902
    2271    2658    2887    3073
    2656    2268    3748    2892
    2655     100    2501    2893
    2265    3012    3160    3382
    3620   10028    3632    3937
    3210    3051    2262    3363
    2381    2380    2775    2776
    2648    2776     160    3013
    2649      37    2379    2774
    2775    2649    2262    3051
    3010    2653    2654    2263
    2898    2650    3011    2263
    2897    2505    2504    2896
    2896    2504     101    2651
    2651    2895    3012    2265
    2895    2503    2502    2894
    3465    3267    3436   10000
    3160    3012    2266    3337
    2266    3095    3267    3337
    2779    2652    3680    2126
    2037    3013    3245    3294
    2038    3467    3761    3926
    4158    2128   10159    4385
    2040    4565    4798    4853
    5051   10292    5218   10393
   10454   10393    4853    4798
    4853    2041    5052    5001
    4854    4703    4386    4799
    3706    4039    4106    2125
    3466    3294    2038    3706
    2652      39    2383    2778
    2037    3294    3466    9852
    3467    3245    3417    2127
    2653      36    2377    2654
    2506    2898    9847    2507
    2893    2501    2500    2892
    2656      99    2499    2891
    2891    3688    2268    2656
    3445    2178    3468    2269
    4107    3868    2256   10075
    4855    2257    5016   10193
    4432    4855    4742    4626
    5128    4855    4432    4220
    2176    3855    3867    3929
    3621    3436    2267    3748
    3436    3621    2176   10000
    2657      98    2497    2889
    3445    3281    3589    9956
    4088    4108    3829    2179
    2887    2495    2494    2886
    2658    2271    3014    2888
    2890    2657    3110    2269
    2878    2486    2485    2877
    2635    2279    3071    2877
    2876    3742    2279    2635
    2634    3679    2280    2875
    2660      89    2480    2872
    2282    2660    2872    3070
    3220    3070    2283    3379
   10156    3869   10130    3824
    4433   10293    4221   10215
    4295    2144    4487    4389
    2144    4856    4759    4487
    5275    5023    5053    2052
    5275    2052    5276    4944
    5181    2051    5219   10384
    4942   10609   10636    5180
    5400    4977    5180   10636
    5401    5198    5286   10730
    2138    4738   10586    4977
    4488    4738    4428    2248
    4423    4664    4488    2248
    4413    4490   10233    4665
    4490    4437    4666   10233
    4857    4390    4829    2142
    4389    4165   10216    4295
    4829    4390    4627    2143
    4993    2053    5053    5023
    2661      88    2478    2870
    3096    2284    3268    3221
    3633    3622    3870    2243
    2868    2476    2475    2867
    2662    2285    3015    2869
    2283    2871    2661    3096
    2860    2468    2467    2859
    2664      82    2466    2858
    2858    3687    2292    2664
    3443    2202    3499    2293
    4109    3871   10049   10126
    4858    2234    5018    2154
    4393    4858    4670    4494
    5054    4948   10334    2154
   10531    5221    5182    4946
    5277   10361    4945   10392
    5503    4968    5183    2060
    4967    5055    4914    2148
    2149    4729    4968    5191
    4491    4729    4411    2238
    4667    4491    4429    4739
   10308    4391    4493    2152
    4392    4494    4669    4493
    2152    4493    4669    4947
   10509    5220   10408    5214
    2665      81    2464    2856
    3443    3280    3588    9959
    4090    4110   10048    3828
    2854    2462    2461    2853
    2666    2295    3016    2855
    2293    2857    2665    3109
    2845    2453    2452    2844
    2615    2303    3065    2844
    2843    3741    2303    2615
    2668    2958    3017     159
    2958    2569    2568    2957
    3295    3246    3469    2170
    2079    3833   10148    3927
    4564    4495    4370    4296
   10264    4760    5056   10373
   10614   10559    5254   10546
    5729    6012    5869    1892
    6014    6177   10946    6310
   11077    6723    6597   11041
   11190    6982   11189    7224
    7346    7573    7462    1769
   11300    7788   11322    7681
    7996    8186    8092    1657
    8282   11445    8370    8456
    8707    8625    8549   11454
    8787    8930    8859    1516
    9263    9209    9327    1456
    9429    9478    9385    1332
    9526    9607    9563    1331
    9709    9647    1277    9681
    9757    9734    9779    1279
    9796    9819    9811    9795
    9701    9660    9722    1142
    9629    9551    9628    1048
    9464   11711    9496   11753
    9328    9305    1008    9396
